id_cliente,idade,genero,estado_civil,tempo_como_cliente,tipo_contrato,forma_pagamento,suporte_contatado,chamados_abertos,tempo_medio_atendimento,reclamacoes,atrasos_pagamento,renda_faixa,servicos_assinados,produtos_assinados,valor_mensal,total_gasto,churn
c19f9c98-53b9-4332-bc13-5ef6140340bf,44,Feminino,Solteiro,53,Mensal,Cartão,3,0,27.13,0,1,5000-10000,1,['Produto B'],92.5,5008.27,0
31a56465-bba5-4d96-b469-e175557147b1,38,Masculino,Solteiro,108,Mensal,Cartão,0,0,25.33,1,2,10000-50000,2,['Produto A' 'Produto B'],154.26,17019.52,0
e35a2241-9ccd-4f48-9115-5fba0453f3c1,46,Feminino,Divorciado,56,Mensal,Boleto,0,1,27.43,2,3,1000-5000,1,['Produto E'],202.58,11589.24,0
db753c09-0ee7-4d19-907d-7407a9d9e45c,55,Feminino,Casado,110,Mensal,Cartão,1,2,11.5,2,3,5000-10000,1,['Produto F'],344.72,38737.3,0
d719f4aa-0bc2-4784-a5e6-dddaaf39b229,37,Masculino,Casado,17,Mensal,Boleto,2,2,21.42,0,2,5000-10000,5,['Produto C' 'Produto B' 'Produto D' 'Produto E' 'Produto F'],871.1,15128.2,1
a24e6807-d4a1-4fe9-af69-82a0b4ee5843,37,Masculino,Casado,112,Anual,Cartão,0,2,22.62,1,0,10000-50000,1,['Produto B'],74.92,8572.08,0
1bc3efeb-364b-4829-8be4-1b46bff5373a,55,Feminino,Casado,54,Mensal,Cartão,2,0,13.26,0,0,0-1000,4,['Produto A' 'Produto C' 'Produto B' 'Produto F'],639.57,35281.91,0
8eed31bb-cb6d-4333-bf2f-43d0a4869dc0,47,Feminino,Divorciado,63,Anual,Boleto,3,0,16.31,2,4,1000-5000,5,['Produto E' 'Produto F' 'Produto B' 'Produto C' 'Produto D'],1035.91,66670.36,1
52c6287e-1821-46b9-a040-9797a824a6a9,35,Masculino,Solteiro,63,Mensal,Cartão,0,3,27.13,0,4,0-1000,2,['Produto E' 'Produto C'],324.86,20907.74,0
304284c8-5b7b-4254-a8f1-9fe0a2187f3a,45,Masculino,Casado,48,Mensal,Débito,2,0,17.91,0,2,5000-10000,5,['Produto C' 'Produto D' 'Produto B' 'Produto A' 'Produto E'],708.3,34731.91,1
