id_cliente,idade,genero,estado_civil,tempo_como_cliente,tipo_contrato,forma_pagamento,suporte_contatado,chamados_abertos,tempo_medio_atendimento,reclamacoes,atrasos_pagamento,renda_faixa,servicos_assinados,produtos_assinados,valor_mensal,total_gasto
f6337b09-c973-453d-b113-f1daa4213b0a,44,Masculino,Solteiro,48,Anual,Boleto,0,0,10.67,1,2,10000-50000,1,['Produto F'],311.07,15304.67
1ecbc358-bda2-4e63-97ba-51fcec179785,38,Masculino,Solteiro,66,Mensal,Débito,0,3,19.76,0,1,10000-50000,2,['Produto F' 'Produto E'],567.69,38404.3
7bdd4b1d-c95c-409b-aabd-b857ee1795df,46,Masculino,Divorciado,16,Anual,Boleto,2,2,9.71,0,0,10000-50000,0,[],0.0,0.0
ffa2dd54-558d-45cb-81fd-43be62752441,55,Masculino,Casado,80,Mensal,Débito,1,0,8.48,0,2,1000-5000,3,['Produto C' 'Produto E' 'Produto B'],383.53,31449.52
e8b15be3-822c-4e7d-a9a8-e2aae6091630,37,Masculino,Solteiro,53,Mensal,Boleto,2,2,12.96,0,4,10000-50000,2,['Produto D' 'Produto F'],589.32,32014.87
dbc623b0-cfad-453d-868e-dcaead983800,37,Feminino,Solteiro,120,Mensal,Boleto,1,1,26.53,0,0,10000-50000,4,['Produto A' 'Produto D' 'Produto C' 'Produto F'],725.06,89182.54
6b3f4a9d-71e1-4842-bf02-c8169c81dac7,55,Feminino,Solteiro,120,Mensal,Boleto,3,2,5.92,0,3,1000-5000,4,['Produto B' 'Produto F' 'Produto E' 'Produto A'],571.59,70305.7
7934eff9-85fe-44eb-b0fa-a6058c87aba9,47,Feminino,Divorciado,86,Anual,Cartão,1,0,25.83,0,4,5000-10000,2,['Produto D' 'Produto A'],257.66,22712.77
6a7e5515-9b10-414a-867f-3bfd3e8f719e,35,Masculino,Solteiro,107,Mensal,Cartão,2,0,20.52,0,1,5000-10000,2,['Produto B' 'Produto E'],269.25,29530.05
12aa975b-b631-43c7-87a4-46955b1bf46c,45,Masculino,Divorciado,65,Mensal,Boleto,2,0,6.01,0,4,5000-10000,2,['Produto C' 'Produto A'],163.51,10893.87
88f5c533-4186-4cfc-8abd-a6b7356b44fb,35,Masculino,Divorciado,79,Mensal,Boleto,2,0,20.05,1,4,0-1000,4,['Produto E' 'Produto C' 'Produto B' 'Produto A'],561.63,45478.07
a29534ea-4505-44f5-9061-5afa638a15fe,35,Feminino,Solteiro,64,Mensal,Débito,1,2,15.65,0,2,0-1000,4,['Produto F' 'Produto E' 'Produto D' 'Produto A'],810.01,53136.75
ca7f223f-180b-4f61-8bbc-4797c5ae1459,42,Feminino,Solteiro,88,Anual,Débito,1,1,26.03,1,1,5000-10000,2,['Produto C' 'Produto A'],142.53,12856.23
af04d7e4-1334-48c8-be74-10924215f17a,20,Feminino,Divorciado,68,Mensal,Boleto,3,0,27.68,1,2,1000-5000,5,['Produto F' 'Produto A' 'Produto D' 'Produto B' 'Produto E'],1002.04,69842.31
d9f1c545-64bc-4593-a97c-a5a9e58e8b5c,22,Masculino,Solteiro,63,Anual,Cartão,2,1,12.16,1,4,0-1000,4,['Produto C' 'Produto D' 'Produto E' 'Produto B'],539.37,34829.88
83148191-f59a-4e6d-b30e-2cb4e6e55899,34,Feminino,Solteiro,62,Mensal,Boleto,2,0,24.6,0,0,1000-5000,3,['Produto D' 'Produto E' 'Produto F'],746.15,47417.92
e197da8d-11c8-4a73-ac5e-0f5ad373b6c5,29,Masculino,Solteiro,82,Mensal,Boleto,3,0,12.75,0,3,10000-50000,4,['Produto D' 'Produto F' 'Produto E' 'Produto C'],874.81,73527.91
8afae8cc-214f-489a-b38d-78dabebc34e7,43,Feminino,Casado,81,Mensal,Boleto,1,2,12.39,0,3,1000-5000,2,['Produto F' 'Produto A'],388.31,32239.5
48e66e9b-576c-457e-a7c0-c7fc2c99e286,30,Feminino,Casado,71,Anual,Boleto,3,0,9.82,0,2,5000-10000,0,[],0.0,0.0
d4abdb97-06f0-4ce4-9cd8-0ed68fcc5861,25,Feminino,Solteiro,114,Anual,Débito,1,1,21.96,0,0,10000-50000,1,['Produto B'],76.76,8969.42
27e2db01-e85b-419e-ae96-85b0adf42933,54,Feminino,Solteiro,45,Mensal,Boleto,1,1,11.54,0,3,1000-5000,5,['Produto A' 'Produto E' 'Produto D' 'Produto B' 'Produto C'],739.42,34105.81
dddae2c3-9a63-4905-b298-efb1c3d42933,37,Masculino,Divorciado,52,Mensal,Cartão,2,3,16.62,1,0,0-1000,3,['Produto D' 'Produto A' 'Produto B'],332.68,17731.88
ba4b927b-7566-4c7b-9c8b-6e7e807f6a58,40,Feminino,Casado,116,Mensal,Débito,1,1,25.3,0,2,1000-5000,4,['Produto A' 'Produto F' 'Produto B' 'Produto C'],457.54,54401.6
2265eff5-6f39-4904-9c22-a83b740cfac2,25,Feminino,Casado,74,Mensal,Boleto,3,1,24.8,0,1,10000-50000,2,['Produto B' 'Produto E'],369.24,28006.9
4f832a4b-7f1d-4269-8d70-fec6d101c5aa,34,Masculino,Casado,65,Mensal,Boleto,1,1,26.39,1,0,1000-5000,4,['Produto A' 'Produto D' 'Produto B' 'Produto F'],635.73,42355.59
5a9f00f5-b74c-4708-8813-9ee6afdc1192,41,Masculino,Casado,2,Mensal,Cartão,2,0,9.03,0,0,5000-10000,2,['Produto E' 'Produto C'],385.78,790.85
